,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
161,Bar Canete,,,4.5,,"Carrer de la Unio, 17","Bar Cañete, Carrer de la Unió, 17, 80002 Barcelona, Spain",41.3791405,2.173138
162,"We love italy, Pasta & Pizza, Restaurante",,€4 - €9,5.0,,Carrer Del Bruc 162,"Carrer del Bruc, 162, 08037 Barcelona, Spain",41.3986286,2.1639809
163,De Paula L'hamburgueseria del Poble Sec,,€5 - €9,4.5,,"Creu Dels Molers, 65","De Paula: l'hamburgueseria del Poble Sec, Carrer de la Creu dels Molers, 65, 08004 Barcelona, Spain",41.3723646,2.1612801
164,La Nueva Marquesa,,€10 - €15,4.5,,"Carrer Pintor Tapiro, 10","Carrer Pintor Tapiró, 08903 l'Hospitalet de Llobregat, Spain",41.3777596,2.1186999
165,GreenVita Healthy Kitchen,,€10 - €18,4.5,,Avda diagonal 208,"Glòries Multicines, Avinguda Diagonal, 208, 08018 Barcelona, Spain",41.4053714,2.1928801
166,Il Mercante Di Venezia,,€20 - €30,4.5,,"Josep Anselm Clave, 11","Carrer de Josep Anselm Clavé, 08301 Mataró, Spain",41.5440721,2.4462119
167,Vegetalia Gotico,,,4.5,,"Escudellers, 54","Vegetalia, Carrer dels Escudellers, 54, 08002 Barcelona, Spain",41.3803973,2.1776952
168,La Fabrica (Empanadas Argentinas),,"Fast Food, Argentinean",4.5,,Calle Call 19,"Carrer Call, 08505 Vic, Spain",41.9146744,2.227617
169,PicnicBCN,,€20 - €60,5.0,,Major de Sarria 131,"Carrer Major de Can Caralleu, 08017 Barcelona, Spain",41.4020258,2.1116018
170,Restaurant Etapes,,,4.5,,"Enric Granados, 10","Av. Rius i Taulet, Enric Granados, Avinguda de Rius i Taulet, 08172 Sant Cugat del Vallès, Spain",41.4720436,2.0814069
171,Granja Primavera,,€7 - €12,4.5,,"Carrer del Bruc, 121","Carrer del Bruc, 121, 08037 Barcelona, Spain",41.3968073,2.1660621
172,Momo,,,4.5,,"Carrer Avinyo, 39","Carrer Avinyó, 08650 Sallent, Spain",41.8254821,1.8956757
173,Meson Barceloneta,,,4.5,,Paseo Juan de Borbo' 10,"Catalonia, Spain",41.66667,2.0
174,The Benedict,,,4.5,,Carrer D'en Gignas 23,"La Poste, Carrer d'en Gignàs, 23, CP 08003 Barcelona, Spain",41.3814317,2.1802037
175,Debutis,,€6 - €9,4.5,,"Carrer Balmes, 79","Carrer Balmes, Ripollet, Spain",41.4942494,2.1597027
